Artist_and_Track_Name,Lithuania_Streams,Position
Nat King Cole - The Happiest Christmas Tree,1427,436
Bastille - World Gone Mad,1421,437
The Platters - Christmas Time,1420,438
Tony Bennett - O Christmas Tree,1408,439
Dzeko & Torres - L'amour toujours - Tiesto Radio Edit,1405,440
Tove Lo - Disco Tits,1394,441
The xx - A Violent Noise,1393,442
Flo Rida - Good Feeling,1390,443
Fall Out Boy - HOLD ME TIGHT OR DON’T,1389,444
Perry Como - Here We Come a-Caroling / We Wish You a Merry Christmas,1385,445
Bing Crosby - I'll Be Home For Christmas - Single Version,1382,446
Peggy Lee - The Christmas Waltz,1381,447
Bing Crosby - What Child Is This?/The Holly And The Ivy (Medley),1372,448
Linkin Park - One Step Closer,1367,449
Rudimental - Sun Comes Up,1361,450
Katy Perry - Hey Hey Hey,1358,451
Linkin Park - Bleed It Out,1353,452
BØRNS - God Save Our Young Blood (with Lana Del Rey),1347,453
Michael Bublé - Cold December Night,1335,454
Lauv - Paris in the Rain,1333,455
Imagine Dragons - I’ll Make It Up To You,1330,456
Miley Cyrus - Younger Now,1306,457
Kygo - Never Let You Go,1297,458
Alexandra Stan - Mr. Saxobeat - Radio Edit,1295,459
Dua Lipa - Lost In Your Light (feat. Miguel),1290,460
NEIKED - Call Me,1280,461
Bing Crosby - God Rest Ye Merry Gentlemen - Single Version,1279,462
Martin Jensen - Wait,1269,463
Migos - Danger (with Migos & Marshmello),1268,464
Shawn Mendes - Treat You Better,1265,465
Robin Schulz - I Believe I'm Fine,1265,466
G-Eazy - Love Is Gone,1260,467
MØ - When I Was Young,1254,468
Sam Smith - One Last Song,1252,469
David Guetta - Dirty Sexy Money (feat. Charli XCX & French Montana),1249,470
The Jackson 5 - I Want You Back,1242,471
Arlissa - Hearts Ain't Gonna Lie (with Jonas Blue),1241,472
The xx - Performance,1235,473
Nick Jonas - Find You,1228,474
Whitney Houston - I Wanna Dance with Somebody (Who Loves Me),1224,475
The xx - Replica,1224,476
Lou Monte - Dominick The Donkey (The Italian Christmas Donkey) [With Joe Reisman's Orchestra and Chorus],1216,477
Lil Peep - Benz Truck - гелик,1215,478
Foster The People - Pumped Up Kicks,1208,479
Bing Crosby - Let's Start The New Year Off Right,1204,480
Logic - Broken People (with Logic & Rag'n'Bone Man),1200,481
Bing Crosby - Twelve Days Of Christmas - Single Version,1200,482
Elvis Presley - O Little Town of Bethlehem,1197,483
Linkin Park - Talking to Myself,1196,484
Julia Michaels - Uh Huh,1195,485
Nick Jonas - Remember I Told You,1194,486
Nat King Cole - O Tannenbaum,1193,487
IMRI - I Feel Alive,1181,488
Halsey - Not Afraid Anymore,1177,489
Linkin Park - One More Light,1174,490
P!nk - Beautiful Trauma,1173,491
Bing Crosby - Hark! The Herald Angels Sing/It Came Upon A Midnight Clear (Medley) - 24-Bit Digitally Remastered 99,1172,492
Steve Aoki - All Night,1168,493
Lorde - Sober,1167,494
The xx - Brave For You,1157,495
Alan Walker - The Spectre,1150,496
BTS - dimple,1148,497
50 Cent - In Da Club,1144,498
Maroon 5 - Whiskey (feat. A$AP Rocky),1139,499
Halsey - Eyes Closed,1139,500
Miley Cyrus - Sleigh Ride - Recorded at Spotify Studios NYC,1138,501
Queen - Don't Stop Me Now - Remastered,1138,502
John Denver - We Wish You A Merry Christmas,1137,503
Radiohead - Man of War,1135,504
Ed Sheeran - Galway Girl - Martin Jensen Remix,1134,505
Lana Del Rey - Cherry,1126,506
Post Malone - rockstar - Remix,1126,507
Gorillaz - Ascension (feat. Vince Staples),1121,508
OutKast - Hey Ya! - Radio Mix / Club Mix,1117,509
Bruno Mars - Versace On The Floor (Bruno Mars vs. David Guetta),1117,510
A$AP Ferg - Plain Jane,1115,511
Muse - Dig Down,1115,512
Fifth Harmony - He Like That,1112,513
Calvin Harris - This Is What You Came For,1109,514
HAIM - Little Of Your Love - BloodPop® Remix,1106,515
BTS - Pied Piper,1105,516
Linkin Park - Crawling,1097,517
Niall Horan - Mirrors,1096,518
Sam Feldt - YES,1093,519
Hovig - Gravity,1092,520
Rihanna - S&M,1088,521
BTS - Go Go,1087,522
The Script - Rain,1082,523
Antis - Nauji metai,1075,524
Shakin' Stevens - Merry Christmas Everyone - Remastered,1074,525
JP Cooper - She's On My Mind,1072,526
alt-J - Adeline,1072,527
Tiësto - Carry You Home,1069,528
N.E.R.D - Lemon,1067,529
The Chainsmokers - Don't Let Me Down,1065,530
Gorillaz - Let Me Out (feat. Mavis Staples & Pusha T),1064,531
"Bee Gees - Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",1062,532
Ty Dolla $ign - Darkside (with Ty Dolla $ign & Future feat. Kiiara),1060,533
ALMA - Phases,1059,534
Foo Fighters - The Sky Is A Neighborhood,1056,535
BTS - MIC Drop,1053,536
Banks - Underdog,1053,537
Daryl Hall & John Oates - You Make My Dreams - Remastered,1053,538
Felix Jaehn - Feel Good,1052,539
Lana Del Rey - White Mustang,1051,540
David Guetta - Light My Body Up (feat. Nicki Minaj & Lil Wayne),1051,541
Drake - KMT,1049,542
Tove Styrke - Mistakes,1041,543
Naughty Boy - One Chance To Dance,1039,544
Rae Sremmurd - Perplexing Pegasus,1039,545
Astrid S - Think Before I Talk,1038,546
Frank Ocean - Chanel,1037,547
Noah Cyrus - I'm Stuck,1036,548
Imagine Dragons - Mouth Of The River,1036,549
Lucie Jones - Never Give up on You,1034,550
N.E.R.D - Don't Don't Do It!,1032,551
Bryson Tiller - Get Mine,1032,552
R3HAB - I Just Can't,1024,553
P!nk - Whatever You Want,1023,554
Sigrid - Strangers,1018,555
SZA - Love Galore,1013,556
The Vamps - Middle Of The Night,1013,557
James Hersey - Miss You,1013,558
The xx - Test Me,1013,559
Thirty Seconds To Mars - Walk On Water,1008,560
Jax Jones - Breathe,1008,561
Sean Paul - No Lie,1008,562
Drake - Sacrifices,1007,563
Charlie Puth - If You Leave Me Now (feat. Boyz II Men),1006,564
Lil Pump - Designer,1005,565
BTS - Intro: Serendipity,1005,566
blackbear - up in this (with Tinashe),1005,567
Eminem - Remind Me,1004,568
Idina Menzel - Baby It's Cold Outside (duet with Michael Bublé),1003,569
James Arthur - Naked,1002,570
